====
Starting job 9784757 at Wed  4 Mar 13:04:47 GMT 2026 for user dc-guan2.
Running on nodes: m8458
====
✅ Using NumPy with CPU.
Using /cosma/home/dp322/dc-guan2/folps/pipeline//config/p0p2b0_LRG2_nowindow.yml
Initialising power spectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
2: pk2_box_phmean
0: pk0_box_phmean
Initialising bispectrum data from /cosma/home/dp322/dc-guan2/fitting/data/LRG/z0.8.
000: bk000_box_phmean
Initialising baccoemu for the linear power spectrum...
Total time: 0.006972912947336833
Loading matrices from matrices_nfftlog128_Afull-True_use_TNS-False.npy
Starting sampling at 2026-03-04 13:05:00.830040 with 72 CPUs. 


Iter: 0it [00:00, ?it/s]
Iter: 0it [00:00, ?it/s, beta=0, calls=0, ESS=4000, logZ=0, logP=0, acc=0, steps=0, eff=0]
Iter: 29it [02:40,  5.32s/it, beta=0, calls=7680, ESS=4000, logZ=0, logP=-5.37e+6, acc=1, steps=1, eff=1]
Iter: 30it [02:40,  5.40s/it, beta=0, calls=7680, ESS=4000, logZ=0, logP=-5.37e+6, acc=1, steps=1, eff=1]
Iter: 31it [02:41,  5.40s/it, beta=6.2e-6, calls=7680, ESS=3963, logZ=-1.04, logP=-5.37e+6, acc=1, steps=1, eff=1]
Iter: 31it [03:04,  5.40s/it, beta=6.2e-6, calls=7936, ESS=3963, logZ=-1.04, logP=-7.88e+4, acc=0.529, steps=1, eff=1]
Iter: 31it [03:11,  5.40s/it, beta=6.2e-6, calls=8192, ESS=3963, logZ=-1.04, logP=-7.2e+4, acc=0.488, steps=2, eff=1] 
Iter: 31it [03:17,  5.40s/it, beta=6.2e-6, calls=8448, ESS=3963, logZ=-1.04, logP=-7.6e+4, acc=0.461, steps=3, eff=1]
Iter: 31it [03:24,  5.40s/it, beta=6.2e-6, calls=8704, ESS=3963, logZ=-1.04, logP=-7.71e+4, acc=0.422, steps=4, eff=1]
Iter: 31it [03:31,  5.40s/it, beta=6.2e-6, calls=8960, ESS=3963, logZ=-1.04, logP=-7.67e+4, acc=0.423, steps=5, eff=1]
Iter: 31it [03:38,  5.40s/it, beta=6.2e-6, calls=9216, ESS=3963, logZ=-1.04, logP=-7.18e+4, acc=0.436, steps=6, eff=1]
Iter: 31it [03:45,  5.40s/it, beta=6.2e-6, calls=9472, ESS=3963, logZ=-1.04, logP=-7.32e+4, acc=0.441, steps=7, eff=1]
Iter: 31it [03:52,  5.40s/it, beta=6.2e-6, calls=9728, ESS=3963, logZ=-1.04, logP=-7.38e+4, acc=0.437, steps=8, eff=1]
Iter: 31it [04:00,  5.40s/it, beta=6.2e-6, calls=9984, ESS=3963, logZ=-1.04, logP=-7.05e+4, acc=0.435, steps=9, eff=1]
Iter: 31it [04:07,  5.40s/it, beta=6.2e-6, calls=10240, ESS=3963, logZ=-1.04, logP=-7.33e+4, acc=0.377, steps=10, eff=1]
Iter: 31it [04:13,  5.40s/it, beta=6.2e-6, calls=10496, ESS=3963, logZ=-1.04, logP=-6.99e+4, acc=0.366, steps=11, eff=1]
Iter: 31it [04:20,  5.40s/it, beta=6.2e-6, calls=10752, ESS=3963, logZ=-1.04, logP=-7.98e+4, acc=0.412, steps=12, eff=1]
Iter: 31it [04:27,  5.40s/it, beta=6.2e-6, calls=11008, ESS=3963, logZ=-1.04, logP=-7.67e+4, acc=0.426, steps=13, eff=1]
Iter: 31it [04:34,  5.40s/it, beta=6.2e-6, calls=11264, ESS=3963, logZ=-1.04, logP=-7.55e+4, acc=0.384, steps=14, eff=1]
Iter: 31it [04:41,  5.40s/it, beta=6.2e-6, calls=11520, ESS=3963, logZ=-1.04, logP=-7.23e+4, acc=0.398, steps=15, eff=1]
Iter: 31it [04:49,  5.40s/it, beta=6.2e-6, calls=11776, ESS=3963, logZ=-1.04, logP=-7.09e+4, acc=0.415, steps=16, eff=1]
Iter: 31it [04:55,  5.40s/it, beta=6.2e-6, calls=12032, ESS=3963, logZ=-1.04, logP=-7.59e+4, acc=0.361, steps=17, eff=1]
Iter: 31it [05:02,  5.40s/it, beta=6.2e-6, calls=12288, ESS=3963, logZ=-1.04, logP=-6.92e+4, acc=0.371, steps=18, eff=1]
